Seconds,Adj Seconds,Voltage,,,
-0.000000250,0.000000000,5.27,,min,5.13
-0.000000250,0.000000000,5.27,,max,5.39
-0.000000249,0.000000001,5.27,,p2p,0.26
-0.000000249,0.000000001,5.28,,,
-0.000000248,0.000000002,5.28,,,
-0.000000248,0.000000002,5.28,,,
-0.000000247,0.000000003,5.28,,,
-0.000000247,0.000000003,5.28,,,
-0.000000246,0.000000004,5.28,,,
-0.000000246,0.000000004,5.27,,,
-0.000000245,0.000000005,5.27,,,
-0.000000245,0.000000005,5.27,,,
-0.000000244,0.000000006,5.27,,,
-0.000000244,0.000000006,5.26,,,
-0.000000243,0.000000007,5.26,,,
-0.000000243,0.000000007,5.26,,,
-0.000000242,0.000000008,5.26,,,
-0.000000242,0.000000008,5.26,,,
-0.000000241,0.000000009,5.27,,,
-0.000000241,0.000000009,5.27,,,
-0.000000240,0.000000010,5.27,,,
-0.000000240,0.000000010,5.27,,,
-0.000000239,0.000000011,5.27,,,
-0.000000239,0.000000011,5.28,,,
-0.000000238,0.000000012,5.28,,,
-0.000000238,0.000000012,5.28,,,
-0.000000237,0.000000013,5.28,,,
-0.000000237,0.000000013,5.28,,,
-0.000000236,0.000000014,5.28,,,
-0.000000236,0.000000014,5.27,,,
-0.000000235,0.000000015,5.27,,,
-0.000000235,0.000000015,5.27,,,
-0.000000234,0.000000016,5.27,,,
-0.000000234,0.000000016,5.26,,,
-0.000000233,0.000000017,5.26,,,
-0.000000233,0.000000017,5.26,,,
-0.000000232,0.000000018,5.26,,,
-0.000000232,0.000000018,5.26,,,
-0.000000231,0.000000019,5.27,,,
-0.000000231,0.000000019,5.27,,,
-0.000000230,0.000000020,5.27,,,
-0.000000230,0.000000020,5.27,,,
-0.000000229,0.000000021,5.27,,,
-0.000000229,0.000000021,5.27,,,
-0.000000228,0.000000022,5.27,,,
-0.000000228,0.000000022,5.27,,,
-0.000000227,0.000000023,5.27,,,
-0.000000227,0.000000023,5.27,,,
-0.000000226,0.000000024,5.27,,,
-0.000000226,0.000000024,5.27,,,
-0.000000225,0.000000025,5.27,,,
-0.000000225,0.000000025,5.27,,,
-0.000000224,0.000000026,5.26,,,
-0.000000224,0.000000026,5.26,,,
-0.000000223,0.000000027,5.26,,,
-0.000000223,0.000000027,5.26,,,
-0.000000222,0.000000028,5.26,,,
-0.000000222,0.000000028,5.27,,,
-0.000000221,0.000000029,5.27,,,
-0.000000221,0.000000029,5.27,,,
-0.000000220,0.000000030,5.27,,,
-0.000000220,0.000000030,5.27,,,
-0.000000219,0.000000031,5.27,,,
-0.000000219,0.000000031,5.28,,,
-0.000000218,0.000000032,5.28,,,
-0.000000218,0.000000032,5.27,,,
-0.000000217,0.000000033,5.27,,,
-0.000000217,0.000000033,5.27,,,
-0.000000216,0.000000034,5.27,,,
-0.000000216,0.000000034,5.27,,,
-0.000000215,0.000000035,5.27,,,
-0.000000215,0.000000035,5.26,,,
-0.000000214,0.000000036,5.26,,,
-0.000000214,0.000000036,5.26,,,
-0.000000213,0.000000037,5.26,,,
-0.000000213,0.000000037,5.26,,,
-0.000000212,0.000000038,5.26,,,
-0.000000212,0.000000038,5.27,,,
-0.000000211,0.000000039,5.27,,,
-0.000000211,0.000000039,5.27,,,
-0.000000210,0.000000040,5.27,,,
-0.000000210,0.000000040,5.28,,,
-0.000000209,0.000000041,5.28,,,
-0.000000209,0.000000041,5.28,,,
-0.000000208,0.000000042,5.28,,,
-0.000000208,0.000000042,5.27,,,
-0.000000207,0.000000043,5.27,,,
-0.000000207,0.000000043,5.27,,,
-0.000000206,0.000000044,5.27,,,
-0.000000206,0.000000044,5.27,,,
-0.000000205,0.000000045,5.26,,,
-0.000000205,0.000000045,5.26,,,
-0.000000204,0.000000046,5.26,,,
-0.000000204,0.000000046,5.26,,,
-0.000000203,0.000000047,5.27,,,
-0.000000203,0.000000047,5.27,,,
-0.000000202,0.000000048,5.27,,,
-0.000000202,0.000000048,5.27,,,
-0.000000201,0.000000049,5.27,,,
-0.000000201,0.000000049,5.28,,,
-0.000000200,0.000000050,5.28,,,
-0.000000200,0.000000050,5.28,,,
-0.000000199,0.000000051,5.28,,,
-0.000000199,0.000000051,5.27,,,
-0.000000198,0.000000052,5.27,,,
-0.000000198,0.000000052,5.27,,,
-0.000000197,0.000000053,5.27,,,
-0.000000197,0.000000053,5.27,,,
-0.000000196,0.000000054,5.27,,,
-0.000000196,0.000000054,5.26,,,
-0.000000195,0.000000055,5.26,,,
-0.000000195,0.000000055,5.26,,,
-0.000000194,0.000000056,5.26,,,
-0.000000194,0.000000056,5.26,,,
-0.000000193,0.000000057,5.27,,,
-0.000000193,0.000000057,5.27,,,
-0.000000192,0.000000058,5.27,,,
-0.000000192,0.000000058,5.27,,,
-0.000000191,0.000000059,5.27,,,
-0.000000191,0.000000059,5.28,,,
-0.000000190,0.000000060,5.28,,,
-0.000000190,0.000000060,5.27,,,
-0.000000189,0.000000061,5.27,,,
-0.000000189,0.000000061,5.27,,,
-0.000000188,0.000000062,5.27,,,
-0.000000188,0.000000062,5.27,,,
-0.000000187,0.000000063,5.27,,,
-0.000000187,0.000000063,5.26,,,
-0.000000186,0.000000064,5.26,,,
-0.000000186,0.000000064,5.26,,,
-0.000000185,0.000000065,5.26,,,
-0.000000185,0.000000065,5.27,,,
-0.000000184,0.000000066,5.27,,,
-0.000000184,0.000000066,5.27,,,
-0.000000183,0.000000067,5.27,,,
-0.000000183,0.000000067,5.27,,,
-0.000000182,0.000000068,5.27,,,
-0.000000182,0.000000068,5.27,,,
-0.000000181,0.000000069,5.27,,,
-0.000000181,0.000000069,5.27,,,
-0.000000180,0.000000070,5.27,,,
-0.000000180,0.000000070,5.27,,,
-0.000000179,0.000000071,5.27,,,
-0.000000179,0.000000071,5.26,,,
-0.000000178,0.000000072,5.26,,,
-0.000000178,0.000000072,5.26,,,
-0.000000177,0.000000073,5.26,,,
-0.000000177,0.000000073,5.26,,,
-0.000000176,0.000000074,5.26,,,
-0.000000176,0.000000074,5.26,,,
-0.000000175,0.000000075,5.27,,,
-0.000000175,0.000000075,5.27,,,
-0.000000174,0.000000076,5.27,,,
-0.000000174,0.000000076,5.27,,,
-0.000000173,0.000000077,5.27,,,
-0.000000173,0.000000077,5.27,,,
-0.000000172,0.000000078,5.27,,,
-0.000000172,0.000000078,5.27,,,
-0.000000171,0.000000079,5.27,,,
-0.000000171,0.000000079,5.27,,,
-0.000000170,0.000000080,5.27,,,
-0.000000170,0.000000080,5.27,,,
-0.000000169,0.000000081,5.27,,,
-0.000000169,0.000000081,5.26,,,
-0.000000168,0.000000082,5.26,,,
-0.000000168,0.000000082,5.26,,,
-0.000000167,0.000000083,5.26,,,
-0.000000167,0.000000083,5.26,,,
-0.000000166,0.000000084,5.26,,,
-0.000000166,0.000000084,5.26,,,
-0.000000165,0.000000085,5.27,,,
